        step	          pH	          pe	          Ca	           S	          Fe	          Al	          Mn	        C(4)	      Gypsum	    d_Gypsum	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Gibbsite	  d_Gibbsite	     Calcite	   d_Calcite	  si_Calcite	   si_Gypsum	si_Fe(OH)3(a)	 si_Gibbsite	
          46	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.3167e-03	  1.3167e-03	      0.0000	      0.0000	     -0.0000	     -0.0000	
          47	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.8167e-03	  1.8167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          48	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.3167e-03	  2.3167e-03	      0.0000	      0.0000	      0.0000	     -0.0000	
          49	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.8167e-03	  2.8167e-03	      0.0000	      0.0000	      0.0000	     -0.0000	
          50	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  3.3167e-03	  3.3167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          51	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  3.8167e-03	  3.8167e-03	      0.0000	      0.0000	     -0.0000	     -0.0000	
          52	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  4.3167e-03	  4.3167e-03	     -0.0000	      0.0000	      0.0000	     -0.0000	
          53	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  4.8167e-03	  4.8167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          54	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  5.3167e-03	  5.3167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          55	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  5.8167e-03	  5.8167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
